EarthTrends (http://earthtrends.wri.org) Searchable Database Results,,
Provided by the World Resources Institute (http://www.wri.org),,
"Energy and Resources -- Electricity: Access to electricity, percent",,
,,
Units: Percent (%),,
,,
,,2005
Country,,
Afghanistan,AFG,7
Algeria,DZA,98.1
Angola,AGO,15
Argentina,ARG,95.4
Bahrain,BHR,99
Bangladesh,BGD,32
Benin,BEN,22
Bolivia,BOL,64.4
Botswana,BWA,38.5
Brazil,BRA,96.5
Brunei Darussalam,BRN,99.2
Burkina Faso,BFA,7
Cambodia,KHM,20.1
Cameroon,CMR,47
Chile,CHL,98.6
China,CHN,99.4
Colombia,COL,86.1
Congo,COG,19.5
"Congo, Dem Rep",COD,5.8
Costa Rica,CRI,98.5
Cuba,CUB,95.8
Dominican Rep,DOM,92.5
Ecuador,ECU,90.3
Egypt,EGY,98
El Salvador,SLV,79.5
Eritrea,ERI,20.2
Ethiopia,ETH,15
Gabon,GAB,47.9
Ghana,GHA,49.2
Guatemala,GTM,78.6
Haiti,HTI,36
Honduras,HND,61.9
India,IND,55.5
Indonesia,IDN,54
"Iran, Islamic Rep",IRN,97.3
Iraq,IRQ,15
Ireland,IRL,96.6
Jamaica,JAM,87.3
Jordan,JOR,99.9
Kenya,KEN,14
"Korea, Rep",KOR,22
Kuwait,KWT,100
Lebanon,LBN,99
Lesotho,LSO,11
Libyan Arab Jamahiriya,LBY,97
Madagascar,MDG,15
Malawi,MWI,7
Malaysia,MYS,97.8
Mauritius,MUS,93.6
Mongolia,MNG,64.6
Morocco,MAR,85.1
Mozambique,MOZ,6.3
Myanmar,MMR,11.3
Namibia,NAM,34
Nepal,NPL,33
Netherlands Antilles,ANT,99.6
Nicaragua,NIC,69.3
Nigeria,NGA,46
Oman,OMN,95.5
Pakistan,PAK,54
Panama,PAN,85.2
Paraguay,PRY,85.8
Peru,PER,72.3
Philippines,PHL,80.5
Qatar,QAT,70.5
Saudi Arabia,SAU,96.7
Senegal,SEN,33
Singapore,SGP,100
South Africa,ZAF,70
Sri Lanka,LKA,66
Sudan,SDN,30
Syrian Arab Rep,SYR,90
Tanzania,TZA,11
Thailand,THA,99
Togo,TGO,17
Trinidad and Tobago,TTO,99.1
Tunisia,TUN,98.9
Uganda,UGA,8.9
United Arab Emirates,ARE,91.9
Uruguay,URY,95.4
Venezuela,VEN,98.6
Viet Nam,VNM,84.2
Yemen,YEM,36.2
Zambia,ZMB,19
Zimbabwe,ZWE,34
,,
Footnotes,,
No footnotes,,
,,
Source,,
International Energy Agency (IEA). 2006. World Energy Outlook 2006. Available on-line at: http://www.iea.org/textbase/nppdf/free/2006/weo2006.pdf  Paris: IEA.,,
,,
,,
Technical Notes,,
Definition:,,
"Access to electricity is defined as the percentage of the total population that has electrical power in their home. It includes commercially sold electricity, both on and off the grid. For those countries where access to electricity has been assessed through government surveys, it also includes self-generated electricity.  ",,
,,
Years Covered and Frequency of Update:,,
"Data are for the year 2005.  The data were taken from World Energy Outlook 2006. Though the International Energy Agency (IEA) publishes an updates World Energy Outlook every two years, 2002 was the first year for which the statistics on access to electricity were compiled. The 2006 edition incorporates the latest available information. Several major revisions have been made since the 2002 World Energy Outlook, notably for Brazil, India, Iraq,",,
Ethiopia and Yemen. ,,
,,
Methodology:,,
"Basic energy statistics are collected by the IEA from a variety of sources. In OECD member countries, national administrations fill out five annual questionnaires. In non-OECD countries, statistics are collected from questionnaires, international organizations such as United Nations, co-operation with national statistical bodies, and direct communication with energy consultants and companies. If data are not available from any of these sources, they are estimated by the IEA. Full details on the methodology used is available from the 2002 edition of the World Energy Outlook at http://www.worldenergyoutlook.org/.",,
,,
Data Reliability and Cautionary Notes:,,
The International Energy Agency has validated each data point through consultation with several data sources and experts and thus the data can be considered reliable. ,,
,,
Source,,
International Energy Agency (IEA). 2006. World Energy Outlook 2006. Available on-line at: http://www.iea.org/textbase/nppdf/free/2006/weo2006.pdf  Paris: IEA.,,
