EarthTrends (http://earthtrends.wri.org) Searchable Database Results,,,
Provided by the World Resources Institute (http://www.wri.org),,,
Energy and Resources -- Energy Consumption: Total energy consumption per capita,,,
,,,
Units: Kilograms of oil equivalent (kgoe) per person,,,
,,,
,,2005,2000
Country,,,
Albania,ALB,767,594
Algeria,DZA,1058,960
Angola,AGO,621,572
Argentina,ARG,1644,1679
Armenia,ARM,848,672
Australia,AUS,5897.5,5737
Austria,AUT,4134.7,3624.5
Azerbaijan,AZE,1649,1430
Bahrain,BHR,11180,9278
Bangladesh,BGD,171,145
Belarus,BLR,2720,2459
Belgium,BEL,5891.7,6040.7
Benin,BEN,306,279
Bolivia,BOL,578,594
Bosnia and Herzegovina,BIH,1270,1044
Botswana,BWA,1073,1050
Brazil,BRA,1124,1068
Brunei Darussalam,BRN,7062,7633
Bulgaria,BGR,2592,2322
Cambodia,KHM,354,321
Cameroon,CMR,428,428
Canada,CAN,8472.6,8214.5
C̫te d'Ivoire,CIV,432,410
Chile,CHL,1815,1684
China,CHN,1316,875
Colombia,COL,627,651
Congo,COG,300,247
"Congo, Dem Rep",COD,295,295
Costa Rica,CRI,883,842
Croatia,HRV,2000,1726
Cuba,CUB,905,1034
Cyprus,CYP,3367,3499
Czech Rep,CZE,4418.6,3934
Denmark,DNK,3634.3,3627.6
Dominican Rep,DOM,827,944
Ecuador,ECU,789,674
Egypt,EGY,828,676
El Salvador,SLV,673,649
Eritrea,ERI,175,203
Estonia,EST,3786,3306
Ethiopia,ETH,304,291
Finland,FIN,6555,6270
France,FRA,4396.8,4250.3
Gabon,GAB,1243,1212
Georgia,GEO,718,613
Germany,DEU,4187,4175.3
Ghana,GHA,404,397
Gibraltar,GIB,5432,4775
Greece,GRC,2794,2555.7
Guatemala,GTM,634,640
Haiti,HTI,293,257
Honduras,HND,537,469
Hong Kong,HKG,2603,2385
Hungary,HUN,2757.4,2449.8
Iceland,ISL,12209.4,11502.7
India,IND,491,452
Indonesia,IDN,814,740
"Iran, Islamic Rep",IRN,2381,1864
Iraq,IRQ,1067,1037
Ireland,IRL,3656,3732
Israel,ISR,2816,3057
Italy,ITA,3169.1,3043.2
Jamaica,JAM,1445,1514
Japan,JPN,4135.3,4151.8
Jordan,JOR,1296,1068
Kazakhstan,KAZ,3462,2596
Kenya,KEN,503,490
"Korea, Dem People's Rep",PRK,943,903
"Korea, Rep",KOR,4415.4,4029.6
Kuwait,KWT,11102,9320
Kyrgyzstan,KGZ,544,498
Latvia,LVA,2050,1644
Lebanon,LBN,1559,1489
Libyan Arab Jamahiriya,LBY,3254,3208
Lithuania,LTU,2515,2034
Luxembourg,LUX,10137.8,8284.5
"Macedonia, FYR",MKD,1346,1348
Malaysia,MYS,2418,2229
Malta,MLT,2349,2012
Mexico,MEX,1701.2,1528.2
"Moldova, Rep",MDA,845,671
Mongolia,MNG,916,895
Morocco,MAR,458,358
Mozambique,MOZ,516,484
Myanmar,MMR,291,263
Namibia,NAM,679,544
Nepal,NPL,338,334
Netherlands,NLD,5048.8,4798.7
Netherlands Antilles,ANT,9057,7893
New Zealand,NZL,4218,4687.2
Nicaragua,NIC,648,559
Nigeria,NGA,789,759
Norway,NOR,7153.2,5723.8
Oman,OMN,5440,3960
Pakistan,PAK,490,463
Panama,PAN,804,875
Paraguay,PRY,673,723
Peru,PER,494,483
Philippines,PHL,538,560
Poland,POL,2429,2336.7
Portugal,PRT,2574.1,2468.4
Qatar,QAT,19466,19585
Romania,ROU,1772,1616
Russian Federation,RUS,4519,4196
Saudi Arabia,SAU,6068,5169
Senegal,SEN,261,256
Serbia and Montenegro,YUG,2066,1640
Singapore,SGP,6932,5537
Slovakia,SVK,3502.8,3290.1
Slovenia,SVN,3655,3260
South Africa,ZAF,2722,2525
Spain,ESP,3339.6,3096
Sri Lanka,LKA,478,418
Sudan,SDN,508,419
Sweden,SWE,5780.3,5439.3
Switzerland,CHE,3599.3,3606.3
Syrian Arab Rep,SYR,940,1045
Taiwan,TWN,4621,3749
Tajikistan,TJK,531,464
Tanzania,TZA,532,387
Thailand,THA,1557,1214
Togo,TGO,325,329
Trinidad and Tobago,TTO,9736,7670
Tunisia,TUN,843,794
Turkey,TUR,1185.9,1139.5
Turkmenistan,TKM,3381,3215
Ukraine,UKR,3043,2727
United Arab Emirates,ARE,10354,11023
United Kingdom,GBR,3894.6,3971.4
United States,USA,7885.9,8151.8
Uruguay,URY,836,921
Uzbekistan,UZB,1798,2044
Venezuela,VEN,2293,2333
Viet Nam,VNM,617,477
Yemen,YEM,321,272
Zambia,ZMB,611,586
Zimbabwe,ZWE,747,796
,,,
Footnotes,,,
No footnotes,,,
,,,
Source,,,
,,,
&copy OECD/IEA 2007 ,,,
,,,
International Energy Agency (IEA) Statistics Division. 2007. Energy Balances of OECD Countries (2008 edition) and Energy Balances of Non-OECD Countries (2007 edition). Paris: IEA. Available at http://data.iea.org/ieastore/default.asp.,,,
,,,
,,,
Technical Notes,,,
Definition:,,,
"Total energy consumption per capita measures the amount of primary energy consumed, on average, by each person living in a particular country or region for the year indicated. All primary sources of energy, including coal and coal products, oil and petroleum products, natural gas, nuclear, hydroelectric, etc., are included here. Data are reported in kilograms of oil equivalent (kgoe) per person.",,,
,,,
"Consumption equals indigenous production + imports - exports - energy delivered to international marine bunkers +/- stock changes. The International Energy Agency (IEA) refers to these data as Total Primary Energy Supply (TPES). Energy losses from transportation, friction, heat, and other inefficiencies are included in these totals.",,,
,,,
Years Covered and Frequency of Update:,,,
"Data are available here for the years 1990, 2000, and 2005. However, the full datasets provided by the IEA span 1960-2007 for countries that are members of the Organization for Economic Co-operation and Development (OECD) and 1971-2006 for OECD non-members, although coverage varies. The IEA updates their energy data each year in June for OECD countries and in September for non-OECD countries, often revising data from earlier years. EarthTrends data do not necessarily represent the most recently updated IEA data.",,,
,,,
Methodology:,,,
"Basic energy statistics are collected by the IEA from a variety of sources. In OECD member countries, national administrations fill out five annual questionnaires. In non-OECD countries, statistics are collected from questionnaires, international organizations such as the United Nations, cooperation with national statistical bodies, and direct communication with energy consultants and companies. If data are not available from any of these sources, they are estimated by the IEA.",,,
,,,
"To facilitate comparisons among different sources of energy, the IEA measures the heat content of all energy commodities in tonnes (metric tons) of oil equivalent (toe). A tonne of oil equivalent measures the energy contained in a metric ton (1000 kg) of crude oil and is equal to 10 Exp. 7 kilocalories, 41.868 gigajoules, or 11,628 kilowatt-hours (kWh).",,,
,,,
"The energy produced by fossil fuels is calculated using conversion factors per unit mass of fuel (e.g. 10,000 kcal/kg of oil). Since energy sources such as coal and crude oil may vary in quality, the IEA typically uses specific conversion factors supplied by national administrations for the main categories of energy sources and uses (i.e., production, imports, exports). Energy sources categorized as petroleum products, however, have a single set of conversion factors for all countries.",,,
,,,
"The energy produced by non-fossil fuel sources is more complicated to measure; the IEA must first define a primary form of energy to measure, and then calculate the primary energy equivalent. The principle adopted by the IEA is that the primary energy form should be the first energy form downstream in the production process for which multiple energy uses are practical. Heat is therefore the primary form of energy for nuclear, geothermal, and solar thermal production. For hydro, wind, wave and photovoltaic solar production, total electricity is the primary form of energy. The IEA determines the physical energy content of the primary energy source using global or regional efficiency averages.",,,
,,,
"These statistics are expressed in terms of ""net"" calorific value, so the values reported here may be slightly lower than those in other statistical compendia which report energy in terms of ""gross"" calorific value.",,,
,,,
Data Reliability:,,,
"The energy balances data are primarily based on well-established and institutionalized accounting methodologies, and are therefore considered reliable.",,,
,,,
"Energy production estimates from nuclear power and renewable sources (hydroelectric, solar, geothermal, and wind power) are calculated using a number of assumptions about primary energy forms and plant efficiencies. As a result, these values may be less reliable than estimates of energy produced from fossil fuels, and the share of renewables in total energy supply may appear different here than it would from other providers.",,,
,,,
"The data as received from the provider do not distinguish between no data and zero values. WRI has distinguished between the two where possible, but some values represented as zero should probably be indicated by "".."" and vice-versa.",,,
