EarthTrends (http://earthtrends.wri.org) Searchable Database Results,,,
Provided by the World Resources Institute (http://www.wri.org),,,
Water Resources and Freshwater Ecosystems -- Water and Sanitation: Access to improved sanitation,,,
,,,
Units: Percent (%),,,
,,,
,,2004,1990
Country,,,
Afghanistan,AFG,34,3
Albania,ALB,91,..
Algeria,DZA,92,88
Andorra,AND,100,100
Angola,AGO,31,29
Antigua and Barbuda,ATG,95,..
Argentina,ARG,91,81
Armenia,ARM,83,..
Australia,AUS,100,100
Austria,AUT,100,100
Azerbaijan,AZE,54,..
Bahamas,BHS,100,100
Bangladesh,BGD,39,20
Barbados,BRB,100,100
Belarus,BLR,84,..
Belgium,BEL,100,100
Belize,BLZ,47,..
Benin,BEN,33,12
Bhutan,BTN,70,..
Bolivia,BOL,46,33
Bosnia and Herzegovina,BIH,95,..
Botswana,BWA,42,38
Brazil,BRA,75,71
British Virgin Islands,VGB,100,100
Bulgaria,BGR,99,99
Burkina Faso,BFA,13,7
Burundi,BDI,36,44
Cambodia,KHM,17,..
Cameroon,CMR,51,48
Canada,CAN,100,100
Cape Verde,CPV,43,..
C̫te d'Ivoire,CIV,37,21
Central African Rep,CAF,27,23
Chad,TCD,9,7
Chile,CHL,91,84
China,CHN,44,23
Colombia,COL,86,82
Comoros,COM,33,32
Congo,COG,27,..
"Congo, Dem Rep",COD,30,16
Cook Islands,COK,100,97
Costa Rica,CRI,92,..
Croatia,HRV,100,100
Cuba,CUB,98,98
Cyprus,CYP,100,100
Czech Rep,CZE,98,99
Denmark,DNK,100,100
Djibouti,DJI,82,79
Dominica,DMA,84,..
Dominican Rep,DOM,78,52
Ecuador,ECU,89,63
Egypt,EGY,70,54
El Salvador,SLV,62,51
Equatorial Guinea,GNQ,53,..
Eritrea,ERI,9,7
Estonia,EST,97,97
Ethiopia,ETH,13,3
Fiji,FJI,72,68
Finland,FIN,100,100
French Guiana,GUF,78,..
French Polynesia,PYF,98,98
Gabon,GAB,36,..
Gambia,GMB,53,..
Georgia,GEO,94,97
Germany,DEU,100,100
Ghana,GHA,18,15
Grenada,GRD,96,97
Guadeloupe,GLP,64,..
Guam,GUM,99,99
Guatemala,GTM,86,58
Guinea,GIN,18,14
Guinea-Bissau,GNB,35,..
Guyana,GUY,70,..
Haiti,HTI,30,24
Honduras,HND,69,50
Hungary,HUN,95,..
Iceland,ISL,100,100
India,IND,33,14
Indonesia,IDN,55,46
"Iran, Islamic Rep",IRN,..,83
Iraq,IRQ,79,81
Jamaica,JAM,80,75
Japan,JPN,100,100
Jordan,JOR,93,93
Kazakhstan,KAZ,72,72
Kenya,KEN,43,40
Kiribati,KIR,40,25
"Korea, Dem People's Rep",PRK,59,..
Kyrgyzstan,KGZ,59,60
Lao People's Dem Rep,LAO,30,..
Latvia,LVA,78,..
Lebanon,LBN,98,..
Lesotho,LSO,37,37
Liberia,LBR,27,39
Libyan Arab Jamahiriya,LBY,97,97
Luxembourg,LUX,100,100
Madagascar,MDG,32,14
Malawi,MWI,61,47
Malaysia,MYS,94,..
Maldives,MDV,59,..
Mali,MLI,46,36
Marshall Islands,MHL,82,74
Mauritania,MRT,34,31
Mauritius,MUS,94,..
Mexico,MEX,79,58
"Micronesia, Fed States",FSM,28,29
"Moldova, Rep",MDA,68,..
Monaco,MCO,100,100
Mongolia,MNG,59,..
Morocco,MAR,73,56
Mozambique,MOZ,32,20
Myanmar,MMR,77,24
Namibia,NAM,25,24
Nepal,NPL,35,11
Netherlands,NLD,100,100
Nicaragua,NIC,47,45
Niger,NER,13,7
Nigeria,NGA,44,39
Niue,NIU,100,100
Northern Mariana Islands,MNP,95,84
Norway,NOR,100,100
Oman,OMN,..,83
Pakistan,PAK,59,37
Palau,PLW,83,70
Palestinian Territories,,73,..
Panama,PAN,73,71
Papua New Guinea,PNG,44,44
Paraguay,PRY,80,58
Peru,PER,63,52
Philippines,PHL,72,57
Qatar,QAT,100,100
Russian Federation,RUS,87,87
Rwanda,RWA,42,37
Saint Kitts and Nevis,KNA,95,95
Samoa,WSM,100,98
Sao Tome & Principe,STP,25,..
Senegal,SEN,57,33
Serbia and Montenegro,YUG,87,87
Sierra Leone,SLE,39,..
Singapore,SGP,100,100
Slovakia,SVK,99,99
Solomon Islands,SLB,31,..
Somalia,SOM,26,..
South Africa,ZAF,65,69
Spain,ESP,100,100
Sri Lanka,LKA,91,69
St. Lucia,LCA,89,..
Sudan,SDN,34,33
Suriname,SUR,94,..
Swaziland,SWZ,48,..
Sweden,SWE,100,100
Switzerland,CHE,100,100
Syrian Arab Rep,SYR,90,73
Tajikistan,TJK,51,..
Tanzania,TZA,47,47
Thailand,THA,99,80
Timor-Leste,TMP,36,..
Togo,TGO,35,37
Tonga,TON,96,96
Trinidad and Tobago,TTO,100,100
Tunisia,TUN,85,75
Turkey,TUR,88,85
Turkmenistan,TKM,62,..
Turks and Caicos Islands,TCA,96,..
Uganda,UGA,43,42
Ukraine,UKR,96,96
United Arab Emirates,ARE,98,97
United States,USA,100,100
Uruguay,URY,100,100
Uzbekistan,UZB,67,51
Vanuatu,VUT,50,..
Venezuela,VEN,68,..
Viet Nam,VNM,61,36
Yemen,YEM,43,32
Zambia,ZMB,55,44
Zimbabwe,ZWE,53,50
,,,
Footnotes,,,
No footnotes,,,
,,,
Source,,,
World Helath Organization (WHO) and United Nation's Children's Fund (UNICEF). 2006. Meeting the MDG Drinking Water and Sanitation Target: The Urban and Rural Challenge of the Decade. Geneva: WHO and New York: UNICEF. Available online at http://www.wssinfo.org/pdf/JMP_06.pdf.,,,
,,,
,,,
Technical Notes,,,
Definition: ,,,
