EarthTrends (http://earthtrends.wri.org) Searchable Database Results,,,
Provided by the World Resources Institute (http://www.wri.org),,,
Water Resources and Freshwater Ecosystems -- Actual Renewable Water Resources: Per capita,,,
,,,
Units: Cubic meters (m^3) per person per year,,,
,,,
,,2007,2006
Country,,,
Afghanistan,AFG,2015.3,2091.2
Albania,ALB,13183.7,13250.7
Algeria,DZA,422.9,349.8
Andorra,AND,0,0
Angola,AGO,10908.9,9024.4
Antigua and Barbuda,ATG,619,634.1
Argentina,ARG,20591.4,20800.3
Armenia,ARM,3510.8,3501.5
Australia,AUS,23911.4,24157.9
Austria,AUT,9454.9,9469.8
Azerbaijan,AZE,3546.7,3574
Bahamas,BHS,60.2,61.2
Bahrain,BHR,154.5,157
Bangladesh,BGD,8232.3,8381.8
Barbados,BRB,295.2,296.3
Belarus,BLR,6013.5,5979.4
Belgium,BEL,1750.7,1753.4
Belize,BLZ,66267.9,67472.7
Benin,BEN,2764.5,3032.6
Bhutan,BTN,42035.4,42967
Bolivia,BOL,65357.6,66552.4
Bosnia and Herzegovina,BIH,9566.3,9585.9
Botswana,BWA,8214.5,6954.5
Brazil,BRA,43027.9,43587.8
Brunei Darussalam,BRN,21794.9,22251.3
Bulgaria,BGR,2796.7,2776.7
Burkina Faso,BFA,890.2,916.8
Burundi,BDI,442.2,1600.2
Cambodia,KHM,32525.6,33176.1
Cameroon,CMR,16919.5,17197.8
Canada,CAN,88335.6,89111.3
Cape Verde,CPV,566,578
C̫te d'Ivoire,CIV,4315.4,4396.9
Central African Rep,CAF,34786.8,35279.7
Chad,TCD,4173.5,4286.3
Chile,CHL,55425.3,55997.6
China,CHN,2125,2137.3
Colombia,COL,45408.1,46068.4
Comoros,COM,1426.9,1465.2
Congo,COG,196319,221034.7
"Congo, Dem Rep",COD,20973,21628.5
Costa Rica,CRI,25156.7,25551.3
Croatia,HRV,23161.4,23156.3
Cuba,CUB,3368.4,3375.2
Cyprus,CYP,913.3,923.1
Czech Rep,CZE,1289.5,1288.1
Denmark,DNK,1098.7,1101.7
Djibouti,DJI,365.9,371.7
Dominican Rep,DOM,2295,2327.3
Ecuador,ECU,31739,31626.8
Egypt,EGY,758.6,772.8
El Salvador,SLV,3545.5,3604.8
Equatorial Guinea,GNQ,49335.9,50485.4
Eritrea,ERI,1338.1,1381.6
Estonia,EST,9695.7,9666.4
Ethiopia,ETH,1355.1,1538.7
Fiji,FJI,33159.1,33430.9
Finland,FIN,20857,20904.6
France,FRA,3342.6,3354.6
French Guiana,GUF,683673.5,701570.7
Gabon,GAB,114765.6,116643
Gambia,GMB,5018.8,5141.4
Georgia,GEO,14406.3,14282.8
Germany,DEU,1861.5,1861.8
Ghana,GHA,2313.5,2358.6
Greece,GRC,6653.2,6665.2
Greenland,GRL,10578947.4,10578947.4
Guatemala,GTM,8410.4,8618.2
Guinea,GIN,23042.4,23534.3
Guinea-Bissau,GNB,18430.4,18971.8
Guyana,GUY,320478.7,320478.7
Haiti,HTI,1598.7,1621.4
Honduras,HND,12754.8,13030.3
Hungary,HUN,10353.4,10326.7
Iceland,ISL,566666.7,572390.6
India,IND,1670.2,1694.1
Indonesia,IDN,12440.8,12587.3
"Iran, Islamic Rep",IRN,1930.8,1955.4
Iraq,IRQ,2489.8,2552.2
Ireland,IRL,12186.5,12351.5
Israel,ISR,239.7,243.9
Italy,ITA,3288.5,3290.3
Jamaica,JAM,3519.5,3532.7
Japan,JPN,3350.9,3353.6
Jordan,JOR,147.5,150.8
Kazakhstan,KAZ,7405.1,7400.1
Kenya,KEN,838.6,874.5
"Korea, Dem People's Rep",PRK,3402.5,3415.6
"Korea, Rep",KOR,1447.8,1452.6
Kuwait,KWT,7,7.2
Kyrgyzstan,KGZ,3821,3864.8
Lao People's Dem Rep,LAO,53859.2,55059.4
Latvia,LVA,15520.6,15446.2
Lebanon,LBN,1206.4,1219.4
Lesotho,LSO,1693,1687.3
Liberia,LBR,67207.4,69129.9
Libyan Arab Jamahiriya,LBY,98.6,100.5
Lithuania,LTU,7317.1,7287.1
Luxembourg,LUX,6499,6581.7
"Macedonia, FYR",MKD,3137.3,3141.9
Madagascar,MDG,17186,17639.4
Malawi,MWI,1284.6,1312.5
Malaysia,MYS,22103.7,22484.1
Maldives,MDV,86.7,89
Mali,MLI,6980.8,7184.9
Malta,MLT,123.5,125.3
Mauritania,MRT,3510.9,3609.9
Mauritius,MUS,1744.3,2190.3
Mexico,MEX,4172,4220.8
"Moldova, Rep",MDA,2783.1,2777.1
Mongolia,MNG,12836.6,12989.9
Morocco,MAR,894.7,907.9
Mozambique,MOZ,10530.7,10770.4
Myanmar,MMR,20312.8,20498.4
Namibia,NAM,8658.3,8633
Nepal,NPL,7447,7594.5
Netherlands,NLD,5539,5560
New Zealand,NZL,79892.5,80482.4
Nicaragua,NIC,34416.4,35123.2
Niger,NER,2257.3,2332.6
Nigeria,NGA,2085.4,2129.9
Norway,NOR,81886.4,82274.4
Oman,OMN,369.2,377.1
Pakistan,PAK,1352.8,1381.3
Palestinian Territories,,202.8,..
Panama,PAN,44265.6,45006.1
Papua New Guinea,PNG,131010.8,133477.8
Paraguay,PRY,52133.4,53324.9
Peru,PER,66430.5,67406.6
Philippines,PHL,5577.3,5670.2
Poland,POL,1601.4,1600
Portugal,PRT,6485.4,6514.9
Puerto Rico,PRI,1775.9,1785.3
Qatar,QAT,61.8,63.2
R̩union,REU,6195.8,6281.4
Romania,ROU,9837.1,9798.4
Russian Federation,RUS,31763.6,31621.6
Rwanda,RWA,550.7,1029.3
Saint Kitts and Nevis,KNA,545.5,558.1
Sao Tome & Principe,STP,13292.7,13625
Saudi Arabia,SAU,93,95.3
Senegal,SEN,3224.8,3250.7
Serbia and Montenegro,YUG,19870.4,19862.8
Sierra Leone,SLE,27576.7,28174
Singapore,SGP,135.3,137
Slovakia,SVK,9276.1,9276.1
Slovenia,SVN,16218.8,16210.6
Solomon Islands,SLB,89043.8,91224.5
Somalia,SOM,1619.9,1730.2
South Africa,ZAF,1048.2,1050.6
Spain,ESP,2557.1,2570.4
Sri Lanka,LKA,2372.1,2391
