,"Levels","IEF_2011","HDI_2010","#mobile/100c","WGI_2011va","WGI_2011npv","WGI_2011ge",,"GNI pc","Precipitation model","Yield loss","Clim. disaster","Seal level %area","Annual fresh water","Rural %pop","#Doctors/nurse","Seal level %pop","Access water San.","Depth hunger","Infant mort.","$ppp/area"
,,"Economy","Human Dev","Infrastructure","Accountability"," Stable, no violent","gov. effective","""Adaptometer""",,"Water","Food","Health","Coast","Water","Food","Health","Coast","Water","Food","Health","Coast"
,"Absolute Weight","0,33","0,27","0,07","0,11","0,11","0,11","0,00",,"-0,11","0,11","0,07","0,04","0,11","0,11","-0,07","0,04","-0,11","0,11","0,07","-0,04"
,"Axis","Readiness",,,,,,,,"VULNERABILITY",,,,,,,,,,,
,"Scale","0-60",,,,,,,,"0-40",,,,,,,,,,,
,"Bucket","Economic","Social",,"Governance",,,"Awareness",,"Bioph. Exposure",,,,"Socio-economic exposure",,,,"Adaptive capacity",,,
,"Partial weight","0,33","0,33",,"0,33",,,"0,00",,"0,33",,,,"0,33",,,,"0,33",,,
,"Component","Economy","Human Dev","Infrastructure","Accountability"," Stable, no violent","gov. effective","""Adaptometer""","GNI pc","Water","Food","Health","Coast","Water","Food","Health","Coast","Water","Food","Health","Coast"
,"Index","IEF_2011","HDI_2010","#mobile/100c","WGI_2011va","WGI_2011npv","WGI_2011ge","TBD","GNI pc","Precipitation model","Yield loss","Clim. disaster","Seal level %area","Annual fresh water","Rural %pop","#Doctors/nurse","Seal level %pop","Access water San.","Depth hunger","Infant mort.","$ppp/area"
,"Partial weight","1,00","0,80","0,20","0,33","0,33","0,33","1,00",,"-0,33","0,33","0,22","0,11","0,33","0,33","-0,22","0,11","-0,33","0,33","0,22","-0,11"
,"Absolute Weight","0,33","0,27","0,07","0,11","0,11","0,11","0,00",,"-0,11","0,11","0,07","0,04","0,11","0,11","-0,07","0,04","-0,11","0,11","0,07","-0,04"
,,,,,,,,,,,,,,,,,,,,,
,"Type",2.011,2.010,2.008,2.009,2.009,2.009,"?",,,,,,,,,,,,,
,,"IEF_2011","HDI_2010","#mobile/100c","WGI_2011va","WGI_2011npv","WGI_2011ge","TBD","GNIpc","hb","hw","hw","hw","hw","hw","hb","hw","hb","hw","hw","hb"
"AFG","AFGHANISTAN","n/a","0,34925","27,21781","9,95261","0,94340","#NAME?",,"1.419,08433","7,28500","41,10000","0,36479","0,00000","42,29091","75,96000","0,62000","0,00000",,,"165,00000","1000"
"ALB","ALBANIA","63,99127","0,71872","99,93306","54,50237","41,50943","#NAME?",,"7.976,33129","-16,83000","14,31000","1,20831","4,60000","6,35688","53,28000","5,91200","6,50000","95,73029","160,00000","12,60000","6,92925"
"DZA","ALGERIA","52,43221","0,67709","92,71988","17,53555","12,73585","#NAME?",,"8.320,15615","-8,81000","59,90000","0,00533","0,40000","53,96995","34,78000","4,40400","1,90000","83,70196","180,00000","35,99000","59,07605"
"ASM","AMERICAN SAMOA","#N/A","#N/A",,"79,14692","83,96226","#NAME?",,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ADO","ANDORRA","#N/A","0,82432","#N/A","92,89100","94,81132","#NAME?",,"38.056,49124","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"AGO","ANGOLA","46,22408","0,40308","37,58660","14,69194","35,84906","#NAME?",,"4.941,19747","3,93500","42,93000","0,40068","0,20000","0,23649","43,30000","1,47000","4,90000","29,70026","290,00000","130,25000","9,88491"
"AIA","ANGUILLA","#N/A","#N/A","#N/A","79,14692","82,54717","#NAME?",,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ATG","ANTIGUA AND BARBUDA","#N/A","...","157,66558","62,08531","73,58491","#NAME?",,"17.924,04445","-10,20000","65,39000","2,63121","100,00000","9,61538","69,54000","3,62000","100,00000","89,43554","200,00000","11,02000","4,88302"
"ARG","ARGENTINA","51,72479","0,77545","116,61309","56,39810","43,39623","#NAME?",,"14.603,32728","2,69000","18,47000","0,38386","1,20000","10,57609","8,00000","7,22000","4,20000","91,50122","200,00000","14,56000","6,55549"
"ARM","ARMENIA","69,66971","0,69505","99,99100","26,06635","48,11321","#NAME?",,"5.494,61112","-9,57000","13,56000","0,09150","0,00000","32,52122","36,14000","11,74400","0,00000","93,22536","250,00000","20,69000","1000"
"ABW","ARUBA","#N/A","#N/A","114,55692","90,04739","89,62264","#NAME?",,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
