Name	Index Year	Overall Score	Business Freedom	Trade Freedom	Fiscal Freedom	Government Spending	Monetary Freedom	Investment Freedom	Financial Freedom	Property Rights	Freedom From Corruption	Labor Freedom
Afghanistan	2011	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Albania	2011	64,0	67,1	79,8	92,1	68,7	79,9	65,0	70,0	35,0	32,0	50,4
Algeria	2011	52,4	69,4	72,8	83,5	62,4	75,4	20,0	30,0	30,0	28,0	52,9
Angola	2011	46,2	41,4	70,2	84,5	48,1	61,8	35,0	40,0	20,0	19,0	42,3
Argentina	2011	51,7	62,4	69,5	68,7	81,7	63,2	45,0	30,0	20,0	29,0	47,9
Armenia	2011	69,7	82,4	85,5	89,2	85,7	76,0	75,0	70,0	30,0	27,0	75,9
Australia	2011	82,5	90,1	84,4	61,3	64,7	85,0	80,0	90,0	90,0	87,0	92,2
Austria	2011	71,9	72,8	87,6	50,3	28,0	82,9	80,0	70,0	90,0	79,0	78,2
Azerbaijan	2011	59,7	72,9	77,1	83,9	71,0	72,6	55,0	40,0	20,0	23,0	81,1
Bahrain	2011	77,7	77,4	82,8	99,8	80,2	74,0	75,0	80,0	60,0	51,0	97,0
"Bangladesh "	2011	53,0	65,0	58,0	72,7	92,4	68,6	55,0	20,0	20,0	24,0	54,3
Barbados	2011	68,5	90,0	60,5	70,7	48,8	76,3	45,0	60,0	80,0	74,0	80,0
Belarus	2011	47,9	70,6	80,3	83,6	26,2	62,2	20,0	10,0	20,0	24,0	82,3
Belgium	2011	70,2	92,6	87,6	41,8	25,0	82,5	80,0	70,0	80,0	71,0	71,0
Belize	2011	63,8	73,7	71,5	82,3	76,1	78,8	50,0	50,0	40,0	29,0	86,5
Benin	2011	56,0	43,0	58,8	75,8	84,1	78,2	60,0	50,0	30,0	29,0	50,7
Bhutan	2011	57,6	59,8	52,0	83,9	64,1	71,8	20,0	30,0	60,0	50,0	84,7
Bolivia	2011	50,0	57,2	77,6	83,9	63,7	68,8	20,0	50,0	10,0	27,0	41,5
Bosnia and Herzegovina	2011	57,5	60,4	86,0	83,9	24,1	80,6	70,0	60,0	20,0	30,0	60,2
Botswana	2011	68,8	70,5	75,2	78,4	51,5	70,9	75,0	70,0	70,0	56,0	70,0
Brazil	2011	56,3	54,3	69,8	69,0	49,6	75,9	50,0	50,0	50,0	37,0	57,8
Bulgaria	2011	64,9	75,8	87,6	86,9	58,3	75,5	55,0	60,0	30,0	38,0	82,0
Burkina Faso	2011	60,6	61,5	76,2	80,5	86,0	76,8	55,0	50,0	30,0	36,0	53,5
Burma	2011	37,8	20,0	72,3	81,9	98,1	56,6	0,0	10,0	5,0	14,0	20,0
Burundi	2011	49,6	36,8	78,8	72,3	52,0	66,1	55,0	30,0	20,0	18,0	67,1
Cambodia	2011	57,9	39,5	70,0	90,9	94,2	78,0	60,0	50,0	30,0	20,0	46,3
Cameroon	2011	51,8	44,1	59,6	66,9	89,7	73,3	35,0	50,0	30,0	22,0	47,0
Canada	2011	80,8	96,4	88,1	78,0	52,7	78,8	75,0	80,0	90,0	87,0	81,7
Cape Verde	2011	64,6	64,8	67,6	77,3	71,0	79,2	60,0	60,0	65,0	51,0	50,0
Central African Republic	2011	49,3	36,8	58,1	65,4	92,8	71,3	50,0	30,0	20,0	20,0	48,2
Chad	2011	45,3	25,3	55,6	50,4	85,3	70,6	45,0	40,0	20,0	16,0	44,8
Chile	2011	77,4	67,2	88,0	77,7	86,6	77,9	80,0	70,0	85,0	67,0	74,5
China	2011	52,0	49,8	71,6	70,3	87,0	75,3	25,0	30,0	20,0	36,0	54,9
Colombia	2011	68,0	86,1	73,2	74,5	78,9	75,8	65,0	60,0	50,0	37,0	79,3
Comoros	2011	43,8	42,9	62,4	64,8	77,8	76,2	10,0	20,0	30,0	23,0	30,7
"Costa Rica "	2011	67,3	58,2	85,2	82,3	86,9	70,7	70,0	50,0	55,0	53,0	62,1
"Côte d'Ivoire "	2011	55,4	43,3	72,2	78,5	88,4	80,2	35,0	50,0	30,0	21,0	55,7
Croatia	2011	61,1	65,2	87,6	74,6	50,3	78,5	70,0	60,0	40,0	41,0	44,1
Cuba	2011	27,7	10,0	62,2	49,0	0,0	71,6	0,0	10,0	10,0	44,0	20,0
Cyprus	2011	73,3	80,1	82,6	74,6	45,6	87,6	75,0	70,0	80,0	66,0	71,4
Czech Republic	2011	70,4	69,8	87,6	81,0	44,8	80,0	70,0	80,0	65,0	49,0	77,0
Democratic Republic of Congo	2011	40,7	37,8	63,0	73,3	84,5	46,7	15,0	20,0	10,0	19,0	37,3
Denmark	2011	78,6	99,7	87,6	43,2	19,5	81,4	90,0	90,0	90,0	93,0	92,1
Djibouti	2011	54,5	32,9	59,6	79,6	50,5	76,6	60,0	60,0	30,0	28,0	67,7
Dominica	2011	63,3	74,8	74,3	69,5	45,8	86,3	65,0	30,0	65,0	59,0	62,8
Dominican Republic	2011	60,0	56,4	79,8	85,3	89,1	77,1	55,0	40,0	30,0	30,0	57,1
Ecuador	2011	47,1	53,5	76,0	78,9	50,1	64,9	25,0	40,0	20,0	22,0	40,1
Egypt	2011	59,1	64,5	74,0	89,6	65,3	60,8	65,0	50,0	40,0	28,0	53,6
"El Salvador "	2011	68,8	65,5	85,0	85,8	88,0	79,9	75,0	70,0	40,0	34,0	64,9
Equatorial Guinea	2011	47,5	44,2	58,9	75,5	80,5	74,4	20,0	40,0	20,0	18,0	43,1
Eritrea	2011	36,7	18,2	69,1	73,0	31,5	46,0	0,0	20,0	10,0	26,0	73,4
Estonia	2011	75,2	80,9	87,6	80,7	52,2	78,7	90,0	80,0	80,0	66,0	55,8
Ethiopia	2011	50,5	67,4	65,6	74,5	88,7	54,3	20,0	20,0	30,0	27,0	57,1
Fiji	2011	60,4	63,2	69,8	78,1	81,3	76,1	30,0	60,0	30,0	40,0	75,7
Finland	2011	74,0	95,0	87,6	65,3	26,5	80,7	85,0	80,0	90,0	89,0	41,4
France	2011	64,6	85,6	82,6	52,3	16,4	83,7	55,0	70,0	80,0	69,0	51,4
Gabon	2011	56,7	57,3	61,0	74,5	87,9	73,8	45,0	40,0	40,0	29,0	58,8
Georgia	2011	70,4	87,3	89,2	87,5	60,3	76,7	70,0	60,0	40,0	41,0	92,1
Germany	2011	71,8	89,6	87,6	58,5	42,7	83,9	85,0	60,0	90,0	80,0	40,6
Ghana	2011	59,4	63,4	67,8	83,3	46,1	63,3	65,0	60,0	50,0	39,0	56,1
Greece	2011	60,3	76,2	82,6	65,9	34,3	80,6	60,0	60,0	50,0	38,0	55,2
"Guatemala "	2011	61,9	52,1	84,6	79,5	94,4	76,4	60,0	50,0	35,0	34,0	53,4
Guinea	2011	51,7	40,8	61,2	69,6	90,9	70,3	40,0	40,0	20,0	18,0	66,6
Guinea-Bissau	2011	46,5	25,5	63,6	88,7	54,8	72,2	30,0	30,0	20,0	19,0	61,4
Guyana	2011	49,4	66,8	71,3	64,6	29,1	75,8	30,0	40,0	30,0	26,0	60,3
Haiti	2011	52,1	37,5	74,8	80,9	90,1	73,7	30,0	30,0	10,0	18,0	76,4
"Honduras "	2011	58,6	62,1	77,0	83,5	85,7	73,2	60,0	60,0	30,0	25,0	29,7
Hong Kong	2011	89,7	98,7	90,0	93,3	89,6	87,1	90,0	90,0	90,0	82,0	86,2
"Hungary "	2011	66,6	76,5	87,6	69,7	27,4	75,9	75,0	70,0	65,0	51,0	67,7
Iceland	2011	68,2	92,7	88,2	69,8	0,0	68,6	65,0	60,0	90,0	87,0	60,7
India	2011	54,6	36,9	64,2	75,4	77,8	65,1	35,0	40,0	50,0	34,0	67,2
Indonesia	2011	56,0	54,9	73,8	83,0	88,9	74,3	35,0	40,0	30,0	28,0	51,8
Iran	2011	42,1	69,4	44,8	81,1	76,0	60,7	0,0	10,0	10,0	18,0	50,7
Iraq	2011	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ireland	2011	78,7	92,0	87,6	72,1	47,1	80,7	90,0	70,0	90,0	80,0	77,5
Israel	2011	68,5	66,1	87,8	62,3	44,8	78,4	80,0	70,0	70,0	61,0	64,3
Italy	2011	60,3	77,3	87,6	55,4	28,6	82,1	75,0	60,0	50,0	43,0	44,4
"Jamaica "	2011	65,7	86,3	72,2	75,9	64,7	72,5	85,0	60,0	40,0	30,0	70,2
Japan	2011	72,8	83,8	82,6	67,0	58,7	87,9	60,0	50,0	80,0	77,0	81,1
Jordan	2011	68,9	65,8	78,8	92,7	60,9	81,4	70,0	60,0	55,0	50,0	74,2
Kazakhstan	2011	62,1	74,3	80,9	87,3	78,5	69,9	30,0	50,0	35,0	27,0	88,4
Kenya	2011	57,4	62,2	72,8	77,6	72,8	73,2	50,0	50,0	30,0	22,0	62,9
