ISO3,Name,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00
AFG,Afghanistan,0.00,,-17.01,-17.23,-17.44,-17.53,-17.81,-17.98,-18.33,-18.49,-18.44,-18.61,-18.81,-18.58,-18.61,-18.65,-18.81
ALB,Albania,0.00,,-0.88,-0.88,-0.88,-0.88,-0.88,-0.88,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89
DZA,Algeria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AND,Andorra,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AGO,Angola,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,,,-1.29,-2.23,-0.81,-1.76,-2.60,-2.79,-2.37,-2.11,-1.74,-1.36,-0.69,-0.60,-0.11,0.27,0.37
ARG,Argentina,,,-7.83,-7.26,-7.62,-7.48,-8.13,-6.68,-5.86,-7.32,-7.05,-6.23,-4.44,-4.01,-3.52,-3.38,-3.45
ARM,Armenia,,,,,,,,,,,,,,,,,
AUS,Australia,,,-14.31,-14.93,-15.34,-15.45,-15.60,-15.46,-14.38,-14.42,-13.28,-13.39,-13.67,-13.37,-14.19,-14.69,-14.34
AUT,Austria,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,,,5.37,5.24,4.50,4.26,4.38,4.94,3.72,2.13,1.94,1.63,2.45,3.02,2.71,1.35,0.57
BHS,Bahamas,,,5.58,5.69,6.05,5.74,7.88,7.80,7.94,7.03,7.37,7.45,6.57,6.12,6.01,5.97,8.04
BHR,Bahrain,,,8.14,7.86,7.32,6.67,6.59,6.66,6.39,6.26,6.32,6.82,6.57,6.86,7.03,7.07,6.62
BGD,Bangladesh ,,,5.84,5.15,4.93,4.67,5.86,5.71,4.95,4.11,3.99,4.06,3.86,3.89,3.74,3.96,3.62
