ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ALB,Albania,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DZA,Algeria,,,0.026,0.038,0.049,0.061,0.074,0.086,0.098,0.110,0.123,0.135,0.147,0.160,0.172,0.184,0.196
AND,Andorra,,,26.292,25.420,24.609,24.521,24.534,24.546,24.558,24.570,24.583,24.595,24.607,24.620,24.632,24.644,24.656
AGO,Angola,,,0.165,0.160,0.155,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154
ATG,Antigua and Barbuda,,,0.178,0.172,0.167,0.178,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207
ARG,Argentina,,,0.287,0.302,0.297,0.312,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299
ARM,Armenia,,,0.000,0.000,0.012,0.020,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
AUS,Australia,,,0.100,0.097,0.106,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113
AUT,Austria,,,0.226,0.219,0.240,0.239,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247
AZE,Azerbaijan,,,0.535,0.517,0.512,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510,0.510
BHS,Bahamas,,,0.100,0.097,0.110,0.117,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130
BHR,Bahrain,,,0.630,0.618,0.610,0.595,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603
BGD,Bangladesh ,,,0.613,0.618,0.626,0.640,0.640,0.640,0.640,0.640,0.640,0.640,0.640,0.640,0.640,0.640,0.640
BRB,Barbados,,,0.065,0.080,0.106,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113
BLR,Belarus,,,0.217,0.210,0.248,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243
BEL,Belgium,,,0.122,0.151,0.167,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154
BLZ,Belize,,,0.187,0.193,0.195,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198
BEN,Benin,,,0.287,0.277,0.277,0.288,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283
