ISO3,Name,Value,Trend,,,,,,,,,,,,,,
AFG,Afghanistan,,,,,,,,,,,,,,,,
ALB,Albania,,,,,,,,,,,,,,,,
DZA,Algeria,,,,,,,,,,,,,,,,
AND,Andorra,0.001496259,1,,,,,,,,,,,,,,
AGO,Angola,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,0.044908607,1,,,,,,,,,,,,,,
ARG,Argentina,0.036744481,1,,,,,,,,,,,,,,
ARM,Armenia,,,,,,,,,,,,,,,,
AUS,Australia,0.061441817,1,,,,,,,,,,,,,,
AUT,Austria,,,,,,,,,,,,,,,,
AZE,Azerbaijan,0.015163445,1,,,,,,,,,,,,,,
BHS,Bahamas,0.035689743,1,,,,,,,,,,,,,,
BHR,Bahrain,0.010389189,1,,,,,,,,,,,,,,
BGD,Bangladesh,0.007565083,1,,,,,,,,,,,,,,
BRB,Barbados,0.056188867,1,,,,,,,,,,,,,,
BLR,Belarus,0.003723564,1,,,,,,,,,,,,,,
BEL,Belgium,0.006025345,1,,,,,,,,,,,,,,
BLZ,Belize,0.031803999,1,,,,,,,,,,,,,,
BEN,Benin,0.018739389,1,,,,,,,,,,,,,,
BTN,Bhutan,0.047184351,1,,,,,,,,,,,,,,
BOL,Bolivia,0.000639709,1,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,0.006674217,1,,,,,,,,,,,,,,
BWA,Botswana,0.042016347,1,,,,,,,,,,,,,,
BRA,Brazil,0.014919888,1,,,,,,,,,,,,,,
BRN,Brunei Darussalam,-0.000796782,-1,,,,,,,,,,,,,,
BGR,Bulgaria,0.020509754,1,,,,,,,,,,,,,,
BFA,Burkina Faso,0.015804645,1,,,,,,,,,,,,,,
BDI,Burundi,0.017801608,1,,,,,,,,,,,,,,
KHM,Cambodia,,,,,,,,,,,,,,,,
CMR,Cameroon,0.018832191,1,,,,,,,,,,,,,,
CAN,Canada,0.027926154,1,,,,,,,,,,,,,,
CPV,Cape Verde,0.02554785,1,,,,,,,,,,,,,,
CAF,Central African Republic,0.021127864,1,,,,,,,,,,,,,,
TCD,Chad,0.021095492,1,,,,,,,,,,,,,,
CHL,Chile,0.021173967,1,,,,,,,,,,,,,,
CHN,China,0.04327157,1,,,,,,,,,,,,,,
COL,Colombia,-0.014659364,-1,,,,,,,,,,,,,,
COM,Comoros,-0.019505966,-1,,,,,,,,,,,,,,
COG,Congo,0.010225723,1,,,,,,,,,,,,,,
COD,"Congo,DRC",0.02059995,1,,,,,,,,,,,,,,
CRI,Costa Rica,0.040967903,1,,,,,,,,,,,,,,
CIV,Cªte d'Ivoire,0.002787587,1,,,,,,,,,,,,,,
HRV,Croatia,0.048672114,1,,,,,,,,,,,,,,
CUB,Cuba,0.009761312,1,,,,,,,,,,,,,,
CYP,Cyprus,0.006271314,1,,,,,,,,,,,,,,
CZE,Czech Republic,0.028299644,1,,,,,,,,,,,,,,
DNK,Denmark,0.024253778,1,,,,,,,,,,,,,,
DJI,Djibouti,-0.007552666,-1,,,,,,,,,,,,,,
DMA,Dominica,0.022661651,1,,,,,,,,,,,,,,
DOM,Dominican Republic,0.016938563,1,,,,,,,,,,,,,,
ECU,Ecuador,0.014305912,1,,,,,,,,,,,,,,
EGY,Egypt,0.014851663,1,,,,,,,,,,,,,,
SLV,El Salvador,0.005915036,1,,,,,,,,,,,,,,
GNQ,Equatorial Guinea,0.040020573,1,,,,,,,,,,,,,,
ERI,Eritrea,0.018387525,1,,,,,,,,,,,,,,
EST,Estonia,0.046698707,1,,,,,,,,,,,,,,
ETH,Ethiopia,0.016226451,1,,,,,,,,,,,,,,
FJI,Fiji,0.001739384,1,,,,,,,,,,,,,,
FIN,Finland,0.008860842,1,,,,,,,,,,,,,,
FRA,France,-0.006004161,-1,,,,,,,,,,,,,,
GAB,Gabon,0.01406027,1,,,,,,,,,,,,,,
GMB,Gambia,0.002283519,1,,,,,,,,,,,,,,
GEO,Georgia,0.00917085,1,,,,,,,,,,,,,,
DEU,Germany,0.010228233,1,,,,,,,,,,,,,,
GHA,Ghana,0.015496422,1,,,,,,,,,,,,,,
GRC,Greece,0.030239938,1,,,,,,,,,,,,,,
GRD,Grenada,0.03699561,1,,,,,,,,,,,,,,
GTM,Guatemala,0.004502236,1,,,,,,,,,,,,,,
GIN,Guinea,0.050566932,1,,,,,,,,,,,,,,
GNB,Guinea-Bissau,-0.005368741,-1,,,,,,,,,,,,,,
GUY,Guyana,,,,,,,,,,,,,,,,
HTI,Haiti,0.038503939,1,,,,,,,,,,,,,,
HND,Honduras,-0.005427157,-1,,,,,,,,,,,,,,
HUN,Hungary,0.007297693,1,,,,,,,,,,,,,,
ISL,Iceland,-0.026890027,-1,,,,,,,,,,,,,,
IND,India,0.060416547,1,,,,,,,,,,,,,,
IDN,Indonesia,0.028612584,1,,,,,,,,,,,,,,
IRN,"Iran, Islamic Republic of",0.001321717,1,,,,,,,,,,,,,,
IRQ,Iraq,0.000973002,1,,,,,,,,,,,,,,
