ISO3,Name,Value,Trend,,,,,,,,,,,,,,
AFG,Afghanistan,,,,,,,,,,,,,,,,
ALB,Albania,,,,,,,,,,,,,,,,
DZA,Algeria,,,,,,,,,,,,,,,,
AND,Andorra,0.001496259,1,,,,,,,,,,,,,,
AGO,Angola,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,0.107574439,1,,,,,,,,,,,,,,
ARG,Argentina,0.074610524,1,,,,,,,,,,,,,,
ARM,Armenia,,,,,,,,,,,,,,,,
AUS,Australia,0.16137466,1,,,,,,,,,,,,,,
AUT,Austria,,,,,,,,,,,,,,,,
AZE,Azerbaijan,0.040162203,1,,,,,,,,,,,,,,
BHS,Bahamas,0.090205376,1,,,,,,,,,,,,,,
BHR,Bahrain,0.017908723,1,,,,,,,,,,,,,,
BGD,Bangladesh,0.02508156,1,,,,,,,,,,,,,,
BRB,Barbados,0.129414258,1,,,,,,,,,,,,,,
BLR,Belarus,0.006363198,1,,,,,,,,,,,,,,
BEL,Belgium,0.017989951,1,,,,,,,,,,,,,,
BLZ,Belize,0.075148537,1,,,,,,,,,,,,,,
BEN,Benin,0.035560563,1,,,,,,,,,,,,,,
BTN,Bhutan,0.099029772,1,,,,,,,,,,,,,,
BOL,Bolivia,0.016339457,1,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,0.008526253,1,,,,,,,,,,,,,,
BWA,Botswana,0.079544058,1,,,,,,,,,,,,,,
BRA,Brazil,0.02894468,1,,,,,,,,,,,,,,
BRN,Brunei Darussalam,-0.016264382,-1,,,,,,,,,,,,,,
BGR,Bulgaria,0.040540167,1,,,,,,,,,,,,,,
BFA,Burkina Faso,0.038737463,1,,,,,,,,,,,,,,
BDI,Burundi,0.028256273,1,,,,,,,,,,,,,,
KHM,Cambodia,,,,,,,,,,,,,,,,
CMR,Cameroon,0.031583041,1,,,,,,,,,,,,,,
CAN,Canada,0.052992011,1,,,,,,,,,,,,,,
CPV,Cape Verde,0.050673974,1,,,,,,,,,,,,,,
CAF,Central African Republic,0.029364381,1,,,,,,,,,,,,,,
TCD,Chad,0.027924144,1,,,,,,,,,,,,,,
CHL,Chile,0.039490575,1,,,,,,,,,,,,,,
CHN,China,0.072209812,1,,,,,,,,,,,,,,
COL,Colombia,-0.042006068,-1,,,,,,,,,,,,,,
COM,Comoros,-0.054590467,-1,,,,,,,,,,,,,,
COG,Congo,0.027011928,1,,,,,,,,,,,,,,
COD,"Congo,DRC",0.030195908,1,,,,,,,,,,,,,,
CRI,Costa Rica,0.094500395,1,,,,,,,,,,,,,,
CIV,Cªte d'Ivoire,-0.00629326,-1,,,,,,,,,,,,,,
HRV,Croatia,0.107130768,1,,,,,,,,,,,,,,
CUB,Cuba,0.056904999,1,,,,,,,,,,,,,,
CYP,Cyprus,0.010551052,1,,,,,,,,,,,,,,
CZE,Czech Republic,0.064933179,1,,,,,,,,,,,,,,
DNK,Denmark,0.046809374,1,,,,,,,,,,,,,,
DJI,Djibouti,0.009225867,1,,,,,,,,,,,,,,
DMA,Dominica,0.044357166,1,,,,,,,,,,,,,,
DOM,Dominican Republic,0.044226834,1,,,,,,,,,,,,,,
ECU,Ecuador,0.017647831,1,,,,,,,,,,,,,,
EGY,Egypt,0.022148011,1,,,,,,,,,,,,,,
SLV,El Salvador,0.011921927,1,,,,,,,,,,,,,,
GNQ,Equatorial Guinea,0.071638767,1,,,,,,,,,,,,,,
ERI,Eritrea,0.036389735,1,,,,,,,,,,,,,,
EST,Estonia,0.116777092,1,,,,,,,,,,,,,,
ETH,Ethiopia,0.039555334,1,,,,,,,,,,,,,,
FJI,Fiji,0.003330622,1,,,,,,,,,,,,,,
FIN,Finland,-0.048269429,-1,,,,,,,,,,,,,,
FRA,France,-0.010270905,-1,,,,,,,,,,,,,,
GAB,Gabon,0.000157741,1,,,,,,,,,,,,,,
GMB,Gambia,-0.001263832,-1,,,,,,,,,,,,,,
GEO,Georgia,0.004553819,1,,,,,,,,,,,,,,
DEU,Germany,0.027851142,1,,,,,,,,,,,,,,
GHA,Ghana,0.027829806,1,,,,,,,,,,,,,,
GRC,Greece,0.041075256,1,,,,,,,,,,,,,,
GRD,Grenada,0.05786796,1,,,,,,,,,,,,,,
GTM,Guatemala,0.008675526,1,,,,,,,,,,,,,,
GIN,Guinea,0.087101191,1,,,,,,,,,,,,,,
GNB,Guinea-Bissau,-0.010396223,-1,,,,,,,,,,,,,,
GUY,Guyana,,,,,,,,,,,,,,,,
HTI,Haiti,0.070952082,1,,,,,,,,,,,,,,
HND,Honduras,-0.033426887,-1,,,,,,,,,,,,,,
HUN,Hungary,-0.034444171,-1,,,,,,,,,,,,,,
ISL,Iceland,-0.027969789,-1,,,,,,,,,,,,,,
IND,India,0.127846745,1,,,,,,,,,,,,,,
IDN,Indonesia,0.080064891,1,,,,,,,,,,,,,,
IRN,"Iran, Islamic Republic of",0.006378905,1,,,,,,,,,,,,,,
IRQ,Iraq,-0.013332652,-1,,,,,,,,,,,,,,
